id,title,customer,model,serialn,tag,type,location,buy_date,status,substatus,warranty,cost
1,SITLBNM6FG3,Stock,Dell Latitude 5320,BNM6FG3,12346,Laptop,AMS,2021-11-01,1,1,2026-10-27,3500.05
2,SITLCNM6FG3,Stock,Dell Latitude 5320,CNM6FG3,12345,Laptop,UK,2021-11-01,1,1,2026-10-27,68942.35
3,SITM3G95BF3,Stock,DELL-P2219HE,3G95BF3,12347,Monitor,AMS,2021-11-01,1,1,2024-10-27,621.12
4,SITMG675BF3,Stock,DELL-P2219HE,G675BF3,12348,Monitor,AMS,2021-11-01,1,1,2024-10-27,0
5,SITMJQ85BF3,Stock,DELL-P2219HE,JQ85BF3,12349,Monitor,UK,2021-11-01,1,1,2024-10-27,0
6,SITM5185BF3,Stock,DELL-P2219HE,5185BF3,,Monitor,UK,2021-11-01,1,1,2024-10-27,0
7,SITM1R65BF3,Stock,DELL-P2219HE,1R65BF3,,Monitor,UK,2021-11-01,1,1,2024-10-27,0
8,SITM1NY9PF3,Stock,DELL-P2419HE,1NY9PF3,,Monitor,AMS,2021-11-01,1,1,2024-10-27,0
9,SITMHNY9PF3,Stock,DELL-P2419HE,HNY9PF3,,Monitor,MIA,2021-11-01,1,1,2024-10-27,0
10,SITM49Y9PF3,Stock,DELL-P2419HE,49Y9PF3,,Monitor,MIA,2021-11-01,1,1,2024-10-27,0
11,SITMFZX9PF3,Stock,DELL-P2419HE,FZX9PF3,,Monitor,MIA,2021-11-01,1,1,2024-10-27,0
12,SITMG1X9PF3,Stock,DELL-P2419HE,G1X9PF3,,Monitor,MIA,2021-11-01,1,1,2024-10-27,0
13,SITM75Y9PF3,Stock,DELL-P2419HE,75Y9PF3,,Monitor,MIA,2021-11-01,1,1,2024-10-27,0
14,SITMDMX9PF3,Stock,DELL-P2419HE,DMX9PF3,,Monitor,MIA,2021-11-01,1,1,2024-10-27,0
15,SITM12X9PF3,Stock,DELL-P2419HE,12X9PF3,,Monitor,MIA,2021-11-01,1,1,2024-10-27,0
16,SITMH9X9PF3,Stock,DELL-P2419HE,H9X9PF3,,Monitor,MIA,2021-11-01,1,1,2024-10-27,0
17,SITM11X9PF3,Stock,DELL-P2419HE,11X9PF3,,Monitor,MIA,2021-11-01,1,1,2024-10-27,0
18,SITMHMY9PF3,Stock,DELL-P2419HE,HMY9PF3,,Monitor,LUX,2021-11-01,1,1,2024-10-27,0
19,SITMF5X9PF3,Stock,DELL-P2419HE,F5X9PF3,,Monitor,LUX,2021-11-01,1,1,2024-10-27,0
20,SITM9BX9PF3,Stock,DELL-P2419HE,9BX9PF3,,Monitor,LUX,2021-11-01,1,1,2024-10-27,0
21,SITS8FGZ8F3,Stock,Dell Dock WD19S 180W,8FGZ8F3,,Dock Station,AMS,2021-11-01,1,1,2025-10-27,0
22,SITS5G63QH3,Stock,Dell Dock WD19S 180W,5G63QH3,,Dock Station,AMS,2021-11-01,1,1,2025-10-27,0
23,SITS77CLCD3,Stock,Dell Dock WD19S 180W,77CLCD3,,Dock Station,AMS,2021-11-01,1,1,2025-10-27,0
24,SITSH7CLCD3,Stock,Dell Dock WD19S 180W,H7CLCD3,,Dock Station,AMS,2021-11-01,1,1,2025-10-27,0
25,SITS2L9JCD3,Stock,Dell Dock WD19S 180W,2L9JCD3,,Dock Station,MIA,2021-11-01,1,1,2025-10-27,0
26,SITS4M03QH3,Stock,Dell Dock WD19S 180W,4M03QH3,,Dock Station,MIA,2021-11-01,1,1,2025-10-27,0
27,SITS4CCLCD3,Stock,Dell Dock WD19S 180W,4CCLCD3,,Dock Station,MIA,2021-11-01,1,1,2025-10-27,0
28,SITS7N9JCD3,Stock,Dell Dock WD19S 180W,7N9JCD3,,Dock Station,MIA,2021-11-01,1,1,2025-10-27,0
29,SITS5Q9JCD3,Stock,Dell Dock WD19S 180W,5Q9JCD3,,Dock Station,UK,2021-11-01,1,1,2025-10-27,0
30,SITS2K9JCD3,Stock,Dell Dock WD19S 180W,2K9JCD3,,Dock Station,UK,2021-11-01,1,1,2025-10-27,0
31,SITSFQ9JCD3,Stock,Dell Dock WD19S 180W,FQ9JCD3,,Dock Station,UK,2021-11-01,1,1,2025-10-27,0
